id,concept
1,Crazy Frog
2,Easter Bunny
3,Kewpie
4,Miss Cleo
5,Mr. Clean
6,Pink Panther 
7,Agent Smith
8,Ernest P. Worrell
9,Advertising
10,Automobile
11,Felix the Cat
12,Michelin Man
13,Morpheus 
14,Big Boy Restaurants
15,Hello Kitty
16,Alfred E. Neuman
17,Skipper 
18,Strawberry Shortcake
19,Bozo the Clown
20,Bugs Bunny
21,Betty Crocker
22,Kermit the Frog
23,Mac Tonight
24,Mario
25,Ronald McDonald
26,Minions 
27,Mickey
28,Mr. Peanut
29,Pikachu
30,Pillsbury Doughboy
31,Scooby-Doo 
32,Sonic the Hedgehog 
33,Spirit of Ecstasy
34,SpongeBob
35,Wendy Thomas
36,Tinker Bell
37,Woody Woodpecker
38,Easter egg
39,Aunt Jemima
40,Barbie
41,Nancy Green
42,Playboy Bunny
43,Food
44,Chef Boyardee
45,Willy Wonka
46,Billy the Puppet
47,Donald Duck
48,Fred Flintstone
49,Ken 
50,Leo the Lion 
51,Lucky Charms
52,Marlboro Man
53,Max Headroom
54,The Most Interesting Man in the World
55,The Noid
56,Eddie 
57,Public service announcement
58,Smokey Bear
59,Mascot
60,Mass media
61,History of advertising
62,Cola wars
63,Email spam
64,Fear of missing out
65,Guerrilla marketing
66,Social media marketing
67,A minor
68,A.E.I.O.U.
69,A7V
70,Snoh Aalegra
71,Aaliyah
72,Aam Aadmi Party
73,Aardman Animations
74,Animation
75,Casper the Friendly Ghost
76,Daffy Duck
77,Garfield 
78,Godzilla
79,Gollum
80,King Kong
81,Jimmy Neutron
82,Oswald the Lucky Rabbit
83,Popeye
84,Salad Fingers
85,Batgirl
86,Huntress 
87,Betty Boop
88,Daphne Blake
89,Lola Bunny
90,Catwoman
91,The Chipettes
92,Betty Cooper
93,Wendy Darling
94,Della Duck
95,Daisy Duck
96,Emma Frost
97,Dorothy Gale
98,Jean Grey
99,Veronica Lodge
100,Maleficent
101,Mammy Two Shoes
102,Mother Gothel
103,Minnie Mouse
104,Mystique 
105,Olive Oyl
106,Peppermint Patty
107,Jessica Rabbit
108,Sabrina Spellman
109,Storm 
110,Venus 
111,Wonder Twins
112,X-23
113,Aladdin 
114,Archie Andrews
115,King Arthur
116,Baby Huey
117,Bagheera
118,Baloo
119,Barbapapa
120,Bebop and Rocksteady
121,Black Panther 
122,Bluto
123,Charlie Brown
124,Dick Dastardly
125,Dr. Heinz Doofenshmirtz
126,Foghorn Leghorn
127,Forky
128,Geppetto
129,Speedy Gonzales
130,Max Goof
131,Goofy
132,The Great Gazoo
133,Grinch
134,Hong Kong Phooey
135,"Huey, Dewey, and Louie"
136,Jay and Silent Bob
137,Jerry Mouse
138,George Jetson
139,Fred Jones 
140,Jughead Jones
141,Krang
142,King Louie
143,Mr. Magoo
144,Marvin the Martian
145,Groot 
146,Rocket 
147,Link 
148,Warner Bros. Cartoons
149,Animaniacs 
150,Looney Tunes Cartoons
151,New Looney Tunes
152,Pingu
153,Screen Gems
154,Columbia Pictures
155,The Walt Disney Company
156,Davy Jones 
157,Jack Skellington
158,Frog and Toad
159,Hawk and Dove
160,Mermaid Man and Barnacle Boy
161,Pinky and the Brain
162,Plankton and Karen
163,The Rescuers
164,T.O.T.S.
165,Timon and Pumbaa
166,Tom and Jerry
167,Tweedledum and Tweedledee
168,Wile E. Coyote and the Road Runner
169,Paramount Pictures
170,Raggedy Ann
171,Fleischer Studios
172,Max Fleischer
173,Hanna-Barbera
174,Muttley
175,Scrappy-Doo
176,Snagglepuss
177,Space Ghost
178,Yogi Bear
179,Aang
180,Adrien Agreste
181,Azula
182,Batman 
183,Beavis
184,Toph Beifong
185,Bulma
186,Eric Cartman
187,Velma Dinkley
188,Marinette Dupain-Cheng
189,Doctor Eggman
190,Elmer Fudd
191,Evil Queen 
192,Lord Farquaad
193,Finn the Human
194,Princess Fiona
195,Ned Flanders
196,Phineas Flynn
197,Mr. Garrison
198,Gaston 
199,Lois Griffin
200,Meg Griffin
201,Peter Griffin
202,Stewie Griffin
203,He-Man
204,Herbert 
205,The Hex Girls
206,Captain Hook
207,Iroh
208,Jinx 
209,Joker 
210,Korra
211,Edna Krabappel
212,Krusty the Clown
213,Troy McClure
214,Edna Mode
215,Alucard 
216,Renee Montoya
217,Harley Quinn
218,She-Ra
219,Metro-Goldwyn-Mayer
220,United Artists
221,Droopy
222,Tom Cat
223,Alvin and the Chipmunks
224,The Archies
225,BanG Dream!
226,Dethklok
227,Ensemble Stars!
228,Fat Albert and the Cosby Kids
229,Gorillaz
230,Hi Hi Puffy AmiYumi
231,Jem 
232,Josie and the Pussycats 
233,K/DA
234,Simpson family
235,Sonic Underground
236,Merida 
237,Donkey 
238,Puss in Boots 
239,Shrek 
240,Gumby
241,Mighty Mouse
242,Ub Iwerks
243,Cartoon
244,Universal Pictures
245,Villain
246,Stock character
247,Crime
248,Play 
249,Novel
